Academic Year,Class,Component Name,Category,Amount,New Student Amount,Existing Student Amount,Frequency,Months Applicable,Due Day,Applicable For,Description
2026-2027,KG2,Computer Fees,FACILITY,100,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,KG2,Sports/Scout Guide/Redcross,ACTIVITY,80,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,1,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,1,Admission Fee,ADMISSION,2000,2000,1000,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,1,Tuition Fee,ACADEMIC,1040,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,1,Exam Fees,ACADEMIC,1050,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,1,Computer Fees,FACILITY,150,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,1,Sports/Scout Guide/Redcross,ACTIVITY,80,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,2,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,2,Admission Fee,ADMISSION,2000,2000,1000,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,2,Tuition Fee,ACADEMIC,1072,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,2,Exam Fees,ACADEMIC,1050,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,2,Computer Fees,FACILITY,150,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,2,Sports/Scout Guide/Redcross,ACTIVITY,80,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,3,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,3,Admission Fee,ADMISSION,2000,2000,1000,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,3,Tuition Fee,ACADEMIC,1105,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,3,Exam Fees,ACADEMIC,1050,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,3,Computer Fees,FACILITY,150,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,3,Sports/Scout Guide/Redcross,ACTIVITY,80,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,4,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,4,Admission Fee,ADMISSION,2000,2000,1000,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,4,Tuition Fee,ACADEMIC,1142,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,4,Exam Fees,ACADEMIC,1050,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,4,Computer Fees,FACILITY,150,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,4,Sports/Scout Guide/Redcross,ACTIVITY,80,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,5,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,5,Admission Fee,ADMISSION,2000,2000,1000,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,5,Tuition Fee,ACADEMIC,1193,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,5,Exam Fees,ACADEMIC,1050,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,5,Computer Fees,FACILITY,160,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,5,Sports/Scout Guide/Redcross,ACTIVITY,100,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,5,Library Fees,FACILITY,20,,,MONTHLY,10,10,ALL,Library fee for 10 months
2026-2027,6,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,6,Admission Fee,ADMISSION,2000,2000,1000,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,6,Tuition Fee,ACADEMIC,1232,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,6,Exam Fees,ACADEMIC,1200,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,6,Computer Fees,FACILITY,160,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,6,Sports/Scout Guide/Redcross,ACTIVITY,100,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,6,Library Fees,FACILITY,20,,,MONTHLY,10,10,ALL,Library fee for 10 months
2026-2027,6,Lab Fee,FACILITY,40,,,MONTHLY,10,10,ALL,Lab fee for 10 months
2026-2027,7,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,7,Admission Fee,ADMISSION,2000,2000,1000,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,7,Tuition Fee,ACADEMIC,1265,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,7,Exam Fees,ACADEMIC,1200,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,7,Computer Fees,FACILITY,160,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,7,Sports/Scout Guide/Redcross,ACTIVITY,100,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,7,Library Fees,FACILITY,20,,,MONTHLY,10,10,ALL,Library fee for 10 months
2026-2027,7,Lab Fee,FACILITY,40,,,MONTHLY,10,10,ALL,Lab fee for 10 months
2026-2027,8,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,8,Admission Fee,ADMISSION,2000,2000,1000,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,8,Tuition Fee,ACADEMIC,1314,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,8,Exam Fees,ACADEMIC,1200,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,8,Computer Fees,FACILITY,160,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,8,Sports/Scout Guide/Redcross,ACTIVITY,100,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,8,Library Fees,FACILITY,20,,,MONTHLY,10,10,ALL,Library fee for 10 months
2026-2027,8,Lab Fee,FACILITY,40,,,MONTHLY,10,10,ALL,Lab fee for 10 months
2026-2027,9,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,9,Admission Fee,ADMISSION,2500,2500,1200,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,9,Tuition Fee,ACADEMIC,1595,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,9,Exam Fees,ACADEMIC,1500,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,9,Computer Fees,FACILITY,190,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,9,Sports/Scout Guide/Redcross,ACTIVITY,100,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,9,Library Fees,FACILITY,60,,,MONTHLY,10,10,ALL,Library fee for 10 months
2026-2027,9,Lab Fee,FACILITY,80,,,MONTHLY,10,10,ALL,Lab fee for 10 months
2026-2027,10,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,10,Admission Fee,ADMISSION,2500,2500,1200,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,10,Tuition Fee,ACADEMIC,1724,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,10,Exam Fees,ACADEMIC,1500,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,10,Computer Fees,FACILITY,190,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,10,Sports/Scout Guide/Redcross,ACTIVITY,100,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,10,Library Fees,FACILITY,60,,,MONTHLY,10,10,ALL,Library fee for 10 months
2026-2027,10,Lab Fee,FACILITY,80,,,MONTHLY,10,10,ALL,Lab fee for 10 months
2026-2027,11,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,11,Admission Fee,ADMISSION,3000,3000,1500,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,11,Tuition Fee,ACADEMIC,1625,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,11,Exam Fees,ACADEMIC,1800,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,11,Computer Fees,FACILITY,190,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,11,Sports/Scout Guide/Redcross,ACTIVITY,100,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,11,Library Fees,FACILITY,60,,,MONTHLY,10,10,ALL,Library fee for 10 months
2026-2027,11,Lab Fee,FACILITY,110,,,MONTHLY,10,10,ALL,Lab fee for 10 months
2026-2027,12,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,12,Admission Fee,ADMISSION,3000,3000,1500,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,12,Tuition Fee,ACADEMIC,1760,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,12,Exam Fees,ACADEMIC,1800,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,12,Computer Fees,FACILITY,200,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,12,Sports/Scout Guide/Redcross,ACTIVITY,100,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,12,Library Fees,FACILITY,60,,,MONTHLY,10,10,ALL,Library fee for 10 months
2026-2027,12,Lab Fee,FACILITY,110,,,MONTHLY,10,10,ALL,Lab fee for 10 months
